SUBID,TCK,noise_T01,noise_T02
S004,LILF,142.547,
S004,LKN27,140.841,
S004,LKN28,140.941,
S004,LKN29,140.774,
S004,LKN30,140.575,
S004,LKN31,151.517,
S004,LKN32,149.446,
S004,LKN33,149.772,
S004,LKN34,147.987,
S004,LKN35,149.897,
S004,LKN36,146.757,
S004,LKN37,147.107,
S004,LKN38,145.564,
S004,LKN39,138.825,
S004,LKN40,138.857,
S004,LKN41,137.989,
S004,LKN42,139.929,
S004,LKN43,132.487,
S004,LKN44,134.25,
S004,LKN45,128.477,
S004,LKN46,129.699,
S004,LKN47,129.491,
S004,LKN48,133.347,
S004,LORV1,141.28,
S004,LORV1V2,140.869,
S004,LORV1V2R3,140.733,
S004,LSLF,135.628,
S004,LTR,143.426,
S004,LUF,150.319,
S004,RAF,138.087,
S004,RCC,136.338,
S004,RCH,142.466,
S004,RCST,138.931,
S004,RIFO,142.589,
S004,RILF,143.421,
S004,RORV1,141.177,
S004,RORV1V2,141.056,
S004,RORV1V2R3,140.851,
S004,RSLF,136.52,
S004,RTR,141.607,
S004,RUF,144.737,
S005,CFMaj,140.524,
S005,CFMin,141.817,
S005,LAF,135.975,
S005,LCC,137.846,
S005,LCH,151.148,
S005,LCST,141.745,
S005,LIFOF,141.871,
S005,LILF,140.274,
S005,LKN27,139.026,
S005,LKN28,138.267,
S005,LKN29,138.903,
S005,LKN30,138.003,
S005,LKN31,144.259,
S005,LKN32,141.691,
S005,LKN33,144.025,
S005,LKN34,140.795,
S005,LKN35,148.07,
S005,LKN36,146.849,
S005,LKN37,145.737,
S005,LKN38,145.379,
S005,LKN39,143.857,
S005,LKN40,144.594,
S005,LKN41,151.071,
S005,LKN42,149.358,
S005,LKN43,132.475,
S005,LKN44,133.568,
S005,LKN45,130.853,
S005,LKN46,132.474,
S005,LKN47,132.308,
S005,LKN48,134.916,
S005,LORV1,139.813,
S005,LORV1V2,139.016,
S005,LORV1V2R3,139.023,
S005,LSLF,135.534,
S005,LTR,142.01,
S005,LUF,156.209,
S005,RAF,135.709,
S005,RCC,138.552,
S005,RCH,147.782,
S005,RCST,141.839,
S005,RIFO,142.564,
S005,RILF,144.248,
S005,RORV1,140.752,
S005,RORV1V2,138.805,
S005,RORV1V2R3,138.636,
S005,RSLF,135.176,
S005,RTR,141.3,
S005,RUF,152.385,
S006,CFMaj,139.765,
S006,CFMin,149.326,
S006,LAF,139.063,
S006,LCC,139.563,
S006,LCH,149.248,
S006,LCST,157.034,
S006,LIFOF,138.547,
S006,LILF,142.565,
S006,LKN27,141.248,
S006,LKN28,140.879,
S006,LKN29,141.427,
S006,LKN30,141.117,
S006,LKN31,139.622,
S006,LKN32,140.103,
S006,LKN33,139.767,
S006,LKN34,138.606,
S006,LKN35,155.598,
S006,LKN36,145.208,
S006,LKN37,146.809,
S006,LKN38,144.922,
S006,LKN39,144.595,
S006,LKN40,144.759,
S006,LKN41,149.605,
S006,LKN42,149.618,
S006,LKN43,139.691,
S006,LKN44,141.463,
S006,LKN45,135.917,
S006,LKN46,137.469,
S006,LKN47,138.453,
S006,LKN48,140.437,
S006,LORV1,138.935,
S006,LORV1V2,140.807,
S006,LORV1V2R3,141.192,
S006,LSLF,139.96,
S006,LTR,143.955,
S006,LUF,154.231,
S006,RAF,139.523,
S006,RCC,140.591,
S006,RCH,145.994,
S006,RCST,156.781,
S006,RIFO,140.044,
S006,RILF,145.11,
S006,RORV1,138.332,
S006,RORV1V2,139.749,
S006,RORV1V2R3,140.721,
